3627 Felicia :  rat .. lol
117511 Krystina *  is now known as Krystina
117520 Sherwood *  is now known as Sherwood
117522 Oretha :  If they claim to also be a sound card, then they wouldn't require the internal sound card
117525 Katie :  usb audio devices have nothing to do with the computers soundcard
117536 Raquel :  Kemberly, most likely you need a software driver for that, on linux?...
117550 Raquel :  just like a software modem
117560 Katie :  no more than two soundcards have anything to do with each other
117570 Kemberly :  Raquel: as in purchase it from someone link linuxant?
117578 Katie :  you would have to research compatibility if you wanted it to work on linux though
117600 Kemberly :  Katie: ah, ok
117603 Mirella *  entered the room.
117615 Kemberly :  Oretha: Katie, Raquel: thx
117666 Sunni *  left the room (quit: "Ex-Chat").
117715 Vera *  crashes on his keyboard "fdjskafhsdjkafdaskl"
117721 Ardis *  left the room (quit: Read error: 110 (Connection timed out)).
117732 Raquel *  left the room (quit: "brain panic, blue screen of dreams, etc...").
117737 Merna :  nah
117747 Merna :  you cant have that whithout eating nothing
117755 Forrest :  did someone say crazy ass weather?
117779 Forrest :  i just drove around in some.  saw a lighting bolt hit a power line 2 blocks in front of me
117781 Kemberly :  Katie: just out of curiosity, can you recommend a linux compatible brand of sound card?
117801 Merna :  hmmmmmmmmmm
117804 Arlinda *  left the room ("Coming Back").
117804 Arlinda *  entered the room.
117822 Forrest :  it was glowing blue where the lighting stuck, then a shower of yellow sparks come out, then whole right side of the street went dark
117833 Katie :  Kemberly not off hand, tbh i don't use linux on the desktop enough to care about sound
117846 Kori *  wonders why “Cheekah Bow Bow (That Computer Song)” by Vengaboys from Georgia Platinum Album seems sooo loud... oh, right. hangover. =:P
117856 Kemberly :  Katie: ah, ok
117929 Katelynn *  entered the room.
117934 Forrest :  it was raining so hard, no one could see the stipes in the road. everyone was veering into other lanes
117940 Forrest :  stripes
117960 Merna :  stand up, stand up jonny...
117966 Merna :  *zink
117995 Forrest :  how about that indeed Oretha
118006 Oretha :  about what?
118013 Forrest :  the weather
118017 Oretha :  Hot
118026 Oretha :  I've just found a huge list of all the hotspots in the country
118040 Merna *  left the room ("i love my live... it's a passion").
118071 Forrest :  record highs?
118085 Colene *  left the room (quit: "Leaving.").
118096 Forrest :  there's basically a flash flood going on here in Austin
118097 Kori *  is totally in love with Mariah
118107 Lianne :  in SA too
118118 Junie *  left the room ("Bye").
118121 Gavin *  entered the room.
118123 Lianne :  (south africa)
118130 Gia :  http://www.srh.noaa.gov/ewx/  :/
118134 Betsey *  entered the room.
118152 Oretha :  not record highs
118154 Oretha :  lukewarm
118164 Raymond *  entered the room.
118183 Lianne :  now whos to blame for all this?
118215 Oretha :  I dunno, I just know I have a new laptop I should be getting within a week
118228 Lianne :  from Austin?
118248 Leesa *  entered the room.
118250 Leesa :  anyone able to get VIA Technologies, Inc. VIA High Definition Audio Controller (rev 10) working ?
118266 Oretha :  Yeah
118266 Lianne :  which kernel are you running?
118274 Oretha :  I have a via rhine NIC
118299 Oretha :  Oh sorry, I thought you were asking generally
118302 Estelle *  fades into the dark
118306 Mirta :  hello
118307 Leesa :  2.6.21
118316 Jesse :  Herr Bradley...
118358 Robby *  left the room (quit: Remote closed the connection).
118362 Novella *  left the room (quit: Read error: 110 (Connection timed out)).
118363 Graciela *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
118422 Odelia *  entered the room.
118423 Krystina *  left the room (quit: Remote closed the connection).
118436 Mirta :  :)
118486 Colene *  entered the room.
118586 Kori *  riffles the discs and comes up with “Ohne Dich” by Rammstein from Reise, Reise
118600 Qiana *  left the room (quit: "... packet dropped.").
118616 Graciela *  entered the room.
118693 Gaston *  left the room (quit: Read error: 110 (Connection timed out)).
118752 Laurene :  ulimit -m sets the maximum memory that this use can use in summary or for one process?
118760 Moses *  left the room (quit: Connection timed out).
118781 Jesse :  Laurene: in total for a user, I believe
118793 Laurene :  O think it isnt working then
118857 Jesse :  Laurene: or I'm wrong ;)
118870 Marquis *  left the room (quit: Remote closed the connection).
118983 Colene *  left the room (quit: Remote closed the connection).
119032 Hannelore *  entered the room.
119036 Harold *  entered the room.
119118 Star *  left the room (quit: Connection timed out).
119127 Shayna *  entered the room.
119132 Donetta *  left the room (quit: Read error: 113 (No route to host)).
119139 Mikaela *  left the room (quit: "bb all").
119149 Mariah *  left the room (quit: "Ex-Chat").
119153 Leola *  left the room (quit: Read error: 110 (Connection timed out)).
119289 Lianne :  wake uppppppppppppp!!!
119292 Kori *  tips the bartender extra as he pours out a jigger of “Something Better” by Martin Solveig from Esto Es Ibiza - La Fiesta De La Isla Blanca
119302 Lianne :  ewww that gay
119323 Kori *  blows the dust off a copy of “Pacific Coast Highway” by Nils from 
119334 Lianne :  jazz, hmm much better
119383 Lianne :  have i been kicked?
119387 Lianne :  testing 1,2,3
119475 Talia :  hello
119492 Johnnie *  entered the room.
119499 Johnnie :  Anybody familiar with using a crossover cable?"
119518 Lajuana :  ...there's not really much to be familiar with.
119524 Maryjane *  entered the room.
119526 Laurene :  how to generate second, separated SSH key and use it in ssh connection as pubkey
119530 Johnnie :  Apparently enough to mystify me :-(.
119547 Johnnie :  Lajuana: I have a crossover cable connecting my laptop (ubuntu) with an appliance running cclinux.
119557 Johnnie :  I have a console on the appliance, too.
119558 Fatimah *  entered the room.
119561 Lajuana :  Johnnie: well, the difference is basically...a normal cable connects a computer to a hub. A crossover cable connects a computer to a computer or a hub to a hub.
119572 Lajuana :  There, there's all there is to know about crossover cables~
119579 Emmitt *  entered the room.
119582 Johnnie :  Lajuana: Georgia laptop is also on wireless, which is how I'm typing this.
119590 Johnnie :  Lajuana: Okay, so why can't I ping the applaince?
119594 Emmitt :  i installed ndiswrapper, but i still have no wireless... what am i missing?
119602 Emmitt :  i also installed the driver
119614 Johnnie :  Lajuana: That is, the appliance is configured to have a static IP of 192.168.1.50, but pinging that IP gets me "destination unreachable".
119660 Christian *  entered the room.
119681 Tobi *  left the room (quit: Remote closed the connection).
119702 Stephen *  left the room (quit: Read error: 110 (Connection timed out)).
119704 Whitney :  did i do this crontab correctly? 30 * * * * /opt/htaccess-ipupdate.sh 2>&1 /var/log/htaccess-ipupdate.log
119780 Colene *  entered the room.
119825 Whitney :  Lajuana - just fyi hub to hub you normally use a straight through
119841 Glennis *  left the room (quit: "Ex-Chat").
119871 Laurene :  is dsa better then rsa for ssh-keygen?
119873 Betsey *  left the room (quit: "its human nature to believe what is said to be human nature").
119884 Lajuana :  Johnnie: and you routing tables are set up right, the interface is configured and reports that it has link, etc?
119887 Katie :  Whitney well it depends, if you have an uplink port or auto-mdix on one of the hubs you can use a straight cable
119905 Lajuana :  Whitney: only if it has an uplink port, which implements the crossover part in the hub itself
119906 Katie :  but otherwise you need a crossover cable
119918 Whitney :  Katie - how often do you find those in 2007?
119940 Lajuana :  Whitney: constantly, when you're scavenging old hardware from work :P
119944 Katie :  i have a network card with built in hub that doesn't have an uplink port
119946 Mikaela *  entered the room.
119968 Whitney :  Lajuana - o.O i'm getting 100mbit switches from work and old schools
119978 Melda :  Laurene: rsa >
119983 Lajuana :  Whitney: so am I. And some of them don't have uplink ports.
119994 Selina *  left the room (quit: Read error: 110 (Connection timed out)).
120009 Candra *  left the room (quit: Remote closed the connection).
120014 Lani *  thought that most 100 mbit switches had auto mdi-x on every port
120024 Antonio *  left the room (quit: "Ex-Chat").
120025 Whitney :  Katie - everyone i've seen does
120034 Betsey *  entered the room.
120041 Betsey *  left the room (quit: Remote closed the connection).
120044 Whitney :  only non auto mdix devices i've seen are 10 or 10/100 hubs
120065 Katie :  as for 10 mbit hubs most but not all have an uplink port but of course that port may be blown
120068 Mildred *  entered the room.
120083 Selina *  entered the room.
120095 Mildred :  I started downloading a torrent yesterday, and somehow overnight the computer got turned off and I can't find the data. What logs do I need to read to find out what happened, or find the data.
120096 Michiko *  left the room (quit: Remote closed the connection).
120112 Lajuana :  Mildred: it should be wherever you configured your torrent client to save it.
120129 Mildred :  it's not
120136 Sharolyn *  entered the room.
120136 Lajuana :  And the default varies from client to client, and some don't /have/ defaults but instead ask you for each torrent or when they first start up.
120139 Mildred :  it's not anywhere in the filesystem, I searched
120145 Lajuana :  ...
120167 Sharolyn :  Anyone know how I can execute a script with qmail everytime i receive an email in a specific account?
120214 Monnie *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
120222 Mirta *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
120225 Candra *  entered the room.
120250 Mirta *  entered the room.
120264 Chara *  will be right back.
120280 Julie *  left the room (quit: Remote closed the connection).
120293 Yuki :  can anyone ping this 2001:618:400:b999:0:0:b19:beef
120296 Laurene :  Melda: rsa is better?
120401 Lorita *  entered the room.
120414 Arnetta *  left the room (quit: "Leaving").
120427 Michiko *  entered the room.
120482 Ching *  left the room (quit: Read error: 110 (Connection timed out)).
120498 Mack *  left the room (quit: Connection timed out).
120525 Ching *  entered the room.
120565 Andrew *  entered the room.
120585 Julius :  what bt client do you use Mildred? ive been trying to get bt working on nix forever
120613 Mildred :  Julius: bittornado
120627 Myrna *  left the room (quit: Read error: 110 (Connection timed out)).
120629 Julius :  man ive been trying to get that working all day
120639 Mildred :  Julius - I've never had any problems with it before, but this is weird - where did my data go!
120643 Julius :  did you ever get the error saying it couldnt find wxPython?
120652 Monnie *  entered the room.
120655 Julius :  know the file name?
120693 Tomoko :  Julius: is wxpython installed at all?
120696 Livia *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
120704 Julius :  yea, i installed it in multiple locations
120723 Tomoko :  lol
120729 Mildred :  I get some random error
